processor name,	cores,	frequency,	generation	
i9-10940X,	14,	3.30,	X-series
i9-10920X,	12,	3.50,	X-series
i9-10900X,	10,	3.70,	X-series
i9-9900T,	8,	2.10,	9th
i9-9900,	8,	3.10,	9th
i7-9700T,	8,	2.00,	9th
i7-9700F,	8,	3.00,	9th
i7-9700,	8,	3.00,	9th
i5-9600T,	6,	2.30,	9th
i5-9600,	6,	3.10,	9th
i5-9500T,	6,	2.20,	9th
i5-9500F,	6,	3.00,	9th
i5-9500,	6,	3.00,	9th
i5-9400T,	6,	1.80,	9th
i3-9350K,	4,	4.00,	9th
i3-9320,	4,	3.70,	9th
i3-9300T,	4,	3.20,	9th
i3-9300,	4,	3.70,	9th
i3-9100T,	4,	3.10,	9th
i3-9100F,	4,	3.60,	9th
i3-9100,	4,	3.60,	9th
i9-9900KF,	8,	3.60,	9th
i7-9700KF,	8,	3.60,	9th
i5-9600KF,	6,	3.70,	9th
i5-9400F,	6,	2.90,	9th
i5-9400,	6,	2.90,	9th
i3-9350KF,	4,	4.00,	9th
i9-9980XE,	18,	3.00,	X-series
i9-9960X,	16,	3.10,	X-series
i9-9940X,	14,	3.30,	X-series
i9-9920X,	12,	3.50,	X-series
i9-9900X,	10,	3.50,	X-series
i9-9900K,	8,	3.60,	9th
i9-9820X,	10,	3.30,	X-series
i7-9800X,	8,	3.80,	X-series
i7-9700K,	8,	3.60,	9th
i5-9600K,	6,	3.70,	9th
i7-8700T,	6,	2.40,	8th
i7+8700,	6,	3.20,	8th
i7-8086K,	6,	4.00,	8th
i5-8600T,	6,	2.30,	8th
i5-8600,	6,	3.10,	8th
i5-8500T,	6,	2.10,	8th
i5-8500,	6,	3.00,	8th
i5-8400T,	6,	1.70,	8th
i5-8400,	6,	2.80,	8th
i3-8300T,	4,	3.20,	8th
i3-8300,	4,	3.70,	8th
i3-8100T,	4,	3.10,	8th
i7-8700K,	6,	3.70,	8th
i7-8700,	6,	3.20,	8th
i5-8600K,	6,	3.60,	8th
i5+8400,	6,	2.80,	8th
i3-8350K,	4,	4.00,	8th
i3-8100,	4,	3.60,	8th
i9-7980XE,	18,	2.60,	X-series
i9-7960X,	16,	2.80,	X-series
i9-7940X,	14,	3.10,	X-series
i9-7920X,	12,	2.90,	X-series
i9-7900X,	10,	3.30,	X-series
i7-7820X,	8,	3.60,	X-series
i7-7800X,	6,	3.50,	X-series
i7-7740X,	4,	4.30,	X-series
i5-7640X,	4,	4.00,	X-series
i7-7700T,	4,	2.90,	7th
i7-7700K,	4,	4.20,	7th
i7-7700,	4,	3.60,	7th
i5-7600T,	4,	2.80,	7th
i5-7600K,	4,	3.80,	7th
i5-7600,	4,	3.50,	7th
i5-7500T,	4,	2.70,	7th
i5-7500,	4,	3.40,	7th
i5-7400T,	4,	2.40,	7th
i5-7400,	4,	3.00,	7th
i3-7350K,	2,	4.20,	7th
i3-7320,	2,	4.10,	7th
i3-7300T,	2,	3.50,	7th
i3-7300,	2,	4.00,	7th
i3-7101TE,	2,	3.40,	7th
i3-7101E,	2,	3.90,	7th
i3-7100T,	2,	3.40,	7th
i3-7100,	2,	3.90,	7th
i7-6950X,	10,	3.00,	X-series
i7-6900K,	8,	3.20,	X-series
i7-6850K,	6,	3.60,	X-series
i7-6800K,	6,	3.40,	X-series
i5-6685R,	4,	3.20,	6th
i5-6585R,	4,	2.80,	6th
i5-6402P,	4,	2.80,	6th
i3-6098P,	2,	3.60,	6th
i7-6700T,	4,	2.80,	6th
i7-6700K,	4,	4.00,	6th
i7-6700,	4,	3.40,	6th
i5-6600T,	4,	2.70,	6th
i5-6600K,	4,	3.50,	6th
i5-6600,	4,	3.30,	6th
i5-6500T,	4,	2.50,	6th
i5-6500,	4,	3.20,	6th
i5-6400T,	4,	2.20,	6th
i5-6400,	4,	2.70,	6th
i3-6320,	2,	3.90,	6th
i3-6300T,	2,	3.30,	6th
i3-6300,	2,	3.80,	6th
i3-6100T,	2,	3.20,	6th
i3-6100,	2,	3.70,	6th
i5-5675R,	4,	3.10,	5th
i5-5675C,	4,	3.10,	5th
i5-5575R,	4,	2.80,	5th
i3-4170,	2,	3.70,	4th
i3-4170T,	2,	3.20,	4th
i3-4370T,	2,	3.30,	4th
i7-5960X,	8,	3.00,	X-series
i7-5930K,	6,	3.50,	X-series
i7-5820K,	6,	3.30,	X-series
i3-4160,	2,	3.60,	4th
i3-4160T,	2,	3.10,	4th
i3-4360T,	2,	3.20,	4th
i3-4370,	2,	3.80,	4th
i3-4150,	2,	3.50,	4th
i3-4150T,	2,	3.00,	4th
i3-4350,	2,	3.60,	4th
i3-4350T,	2,	3.10,	4th
i3-4360,	2,	3.70,	4th
i5-4460,	4,	3.20,	4th
i5-4460S,	4,	2.90,	4th
i5-4460T,	4,	1.90,	4th
i5-4590,	4,	3.30,	4th
i5-4590S,	4,	3.00,	4th
i5-4590T,	4,	2.00,	4th
i5-4690,	4,	3.50,	4th
i5-4690K,	4,	3.50,	4th
i5-4690S,	4,	3.20,	4th
i5-4690T,	4,	1.90,	4th
